"Monsoon" "Upper cloud"
"Lindera erythrocarpa Makino" 0 1
"Lindera megaphylla Hemsl." 4 0
"Liquidambar formosana Hance" 2 0
"Lithocarpus lepidocarpus (Hayata) Hayata" 3 0
"Litsea acuminata (Bl.) Kurata" 113 28
"Litsea acutivena Hayata" 2 0
"Litsea akoensis Hayata" 0 1
"Litsea coreana L?vl." 7 0
"Litsea cubeba (Lour.) Persoon" 3 9
"Litsea elongata (Wall. ex Nees) Benth. & Hook. f. var. mushaensis (Hayata) J. C. Liao" 13 38
"Litsea hypophaea Hayata" 33 1
"Litsea morrisonensis Hayata" 2 13
"Litsea perrottetii (Bl.) F.-Vill." 0 1
"Lonicera acuminata Wall." 0 0
"Lyonia ovalifolia (Wall.) Drude" 3 25
"Macaranga tanarius (L.) Muell.-Arg." 0 0
"Machilus japonica Sieb. & Zucc." 19 13
"Machilus japonica Sieb. & Zucc. var. kusanoi (Hayata) Liao" 47 0
"Machilus thunbergii Sieb. & Zucc." 185 24
"Machilus zuihoensis Hayata" 59 2
"Machilus zuihoensis Hayata var. mushaensis (Lu) Y. C. Liu" 5 0
"Maclura cochinchinensis (Lour.) Corner" 1 12
"Maesa japonica (Thunb.) Moritzi ex Zoll." 39 1
"Maesa perlaria (Lour.) Merr. var. formosana (Mez) Yuen P. Yang" 64 0
"Mahonia japonica (Thunb. ex Murray) DC." 1 0
"Mahonia oiwakensis Hayata" 0 2
"Mallotus japonicus (Thunb.) Muell.-Arg." 42 1
"Mallotus paniculatus (Lam.) Muell.-Arg." 49 0
"Mallotus philippensis (Lam.) Muell.-Arg." 2 0
"Malus doumeri (Bois.) Chev. C. R. Ac. Sc." 1 23
"Melanolepis multiglandulosa (Reinw.) Reich. f. & Zoll." 0 0
"Melastoma candidum D. Don" 23 0
"Melicope pteleifolia (Champ. ex Benth.) T. Hartley" 1 0
"Melicope semecarpifolia (Merr.) T. Hartley" 5 0
"Meliosma rhoifolia Maxim." 6 0
"Meliosma rigida Sieb. & Zucc." 26 0
"Meliosma squamulata Hance" 68 0
"Michelia compressa (Maxim.) Sargent" 116 41
"Microlepia marginata (Panzer) C. Chr. var. bipinnata Makino" 1 0
"Microtropis fokienensis Dunn" 1 63
"Microtropis japonica (Fr. & Sav.) Hall. f." 2 0
"Miscanthus floridulus (Labill.) Warb. ex K. Schum. & Lauterb." 1 0
"Morus australis Poir." 11 0
"Mucuna macrocarpa Wall." 2 0
"Murraya paniculata (L.) Jack." 0 0
"Musa basjoo Siebold var. formosana (Warb.) S. S.Ying" 1 0
"Mussaenda pubescens Ait. f." 3 0
"Myrica rubra (Lour.) Sieb. & Zucc." 38 2
"Myrsine seguinii H. L?vl." 108 2
"Nageia fleuryi (Hickel) de Laub." 4 0
"Nageia nagi (Thunb.) O. Ktze." 10 0
"Neolitsea aciculata (Bl.) Koidz." 0 5
"Neolitsea aciculata (Bl.) Koidz. var. variabillima (Hayata) J. C. Li" 24 16
"Neolitsea acuminatissima (Hayata) Kanehira & Sasaki" 8 143
"Neolitsea konishii (Hayata) Kanehira & Sasaki" 10 1
"Neolitsea parvigemma (Hayata) Kanehira & Sasaki" 2 0
"Neolitsea sericea (Bl.) Koidz." 2 1
"Oreocnide pedunculata (Shirai) Masam." 44 0
"Osmanthus enervius Masam. & Mori" 0 3
"Osmanthus heterophyllus (G. Don) P. S. Green" 1 10
"Osmanthus lanceolatus Hayata" 0 10
"Osmanthus marginatus (Champ. ex Benth.) Hemsl." 6 1
"Osmanthus matsumuranus Hayata" 55 3
"Pachycentria formosana Hayata" 0 1
"Pasania cornea (Lour.) Liao" 0 1
"Pasania glabra (Thunb. ex Murray) Oerst." 5 0
"Pasania hancei (Benth.) Schottky var. ternaticupula (Hayata) Liao" 13 16
"Pasania hancei (Benth.) Schottky var. ternaticupula (Hayata) Liao f. subreticulata (Hayata) Liao" 8 12
"Pasania harlandii (Hance) Oerst." 47 6
"Pasania kawakamii (Hayata) Schottky" 8 22
"Pasania konishii (Hayata) Schottky" 14 1
"Pasania synbalanos (Hance) Schottky" 5 1
"Pasania taitoensis (Hayata) Liao" 1 0
"Perrottetia arisanensis Hayata" 5 2
"Phellodendron amurense Rupr. var. wilsonii (Hayata & Kanehira) Chang" 0 1
"Phoebe formosana (Hayata) Hayata" 1 0
"Photinia niitakayamensis Hayata" 0 26
"Photinia serratifolia (Desf.) Kalkman" 0 1
"Phyllanthus oligospermus Hayata" 0 2
"Picea morrisonicola Hayata" 0 4
"Pieris taiwanensis Hayata" 4 7
"Pilea aquarum Dunn subsp. brevicornuta (Hayata) C. J. Chen" 1 0
"Pileostegia viburnoides Hook. f. & Thoms." 0 0
"Pinus armandii Franchet var. masteriana Hayata" 0 17
"Pinus morrisonicola Hayata" 0 1
"Pinus taiwanensis Hayata" 1 13
"Piper sintenense Hatusima" 1 0
"Pistacia chinensis Bunge" 0 0
"Pittosporum daphniphylloides Hayata" 1 1
"Pittosporum illicioides Makino" 0 12
"Pittosporum pentandrum (Blanco) Merr." 0 0
"Platycarya strobilacea Sieb. & Zucc." 0 0
"Podocarpus fasciculus de Laubenfels" 0 1
"Pourthiaea beauverdiana (Schneider) Hatusima var. notabilis (Rehder & Wilson) Hatusima" 18 10
"Pourthiaea lucida Decaisne" 18 3
"Pourthiaea villosa (Thunb. ex Murray) Decne. var. parvifolia (Pritz.) Iketani & Ohashi" 19 3
"Premna microphylla Turcz." 7 0
"Prunus buergeriana Miq." 0 4
"Prunus campanulata Maxim." 10 15
"Prunus matuurai Sasaki" 1 3
"Prunus phaeosticta (Hance) Maxim." 138 46
