"upper_cloud" "lower_cloud" "lowland" "monsoon"
"Litsea hypophaea Hayata" 1 1 90 170
"Litsea morrisonensis Hayata" 109 514 0 3
"Litsea perrottetii (Bl.) F.-Vill." 1 0 0 0
"Lonicera acuminata Wall." 0 1 0 0
"Lyonia ovalifolia (Wall.) Drude" 575 23 0 9
"Macaranga tanarius (L.) Muell.-Arg." 0 6 5 0
"Machilus japonica Sieb. & Zucc." 123 2698 110 145
"Machilus japonica Sieb. & Zucc. var. kusanoi (Hayata) Liao" 0 19 1098 180
"Machilus thunbergii Sieb. & Zucc." 176 1115 344 3758
"Machilus zuihoensis Hayata" 3 21 63 260
"Machilus zuihoensis Hayata var. mushaensis (Lu) Y. C. Liu" 0 372 98 10
"Maclura cochinchinensis (Lour.) Corner" 81 3 15 1
"Maesa japonica (Thunb.) Moritzi ex Zoll." 24 39 100 304
"Maesa perlaria (Lour.) Merr. var. formosana (Mez) Yuen P. Yang" 0 72 256 418
"Mahonia japonica (Thunb. ex Murray) DC." 0 0 0 1
"Mahonia oiwakensis Hayata" 5 103 0 0
"Mallotus japonicus (Thunb.) Muell.-Arg." 2 21 87 110
"Mallotus paniculatus (Lam.) Muell.-Arg." 0 4 116 194
"Mallotus philippensis (Lam.) Muell.-Arg." 0 0 47 10
"Malus doumeri (Bois.) Chev. C. R. Ac. Sc." 31 38 1 1
"Melanolepis multiglandulosa (Reinw.) Reich. f. & Zoll." 0 0 1 0
"Melastoma candidum D. Don" 0 0 13 172
"Melicope pteleifolia (Champ. ex Benth.) T. Hartley" 0 0 27 1
"Melicope semecarpifolia (Merr.) T. Hartley" 0 0 7 18
"Meliosma rhoifolia Maxim." 0 4 30 14
"Meliosma rigida Sieb. & Zucc." 0 0 2 118
"Meliosma squamulata Hance" 0 12 2 586
"Michelia compressa (Maxim.) Sargent" 155 870 167 706
"Microlepia marginata (Panzer) C. Chr. var. bipinnata Makino" 0 0 0 1
"Microtropis fokienensis Dunn" 336 46 1 3
"Microtropis japonica (Fr. & Sav.) Hall. f." 0 0 0 7
"Miscanthus floridulus (Labill.) Warb. ex K. Schum. & Lauterb." 0 0 0 1
"Morus australis Poir." 0 40 69 12
"Mucuna macrocarpa Wall." 0 7 0 6
"Murraya paniculata (L.) Jack." 0 0 8 0
"Musa basjoo Siebold var. formosana (Warb.) S. S.Ying" 0 0 2 1
"Mussaenda pubescens Ait. f." 0 0 1 3
"Myrica rubra (Lour.) Sieb. & Zucc." 4 12 0 147
"Myrsine seguinii H. L?vl." 107 99 4 3410
"Nageia fleuryi (Hickel) de Laub." 0 0 0 22
"Nageia nagi (Thunb.) O. Ktze." 0 0 1 25
"Neolitsea aciculata (Bl.) Koidz." 25 43 2 0
"Neolitsea aciculata (Bl.) Koidz. var. variabillima (Hayata) J. C. Li" 194 177 6 119
"Neolitsea acuminatissima (Hayata) Kanehira & Sasaki" 3349 606 0 53
"Neolitsea konishii (Hayata) Kanehira & Sasaki" 6 81 227 18
"Neolitsea parvigemma (Hayata) Kanehira & Sasaki" 0 65 1 3
"Neolitsea sericea (Bl.) Koidz." 10 55 0 14
"Oreocnide pedunculata (Shirai) Masam." 0 656 2883 584
"Osmanthus enervius Masam. & Mori" 8 6 0 0
"Osmanthus heterophyllus (G. Don) P. S. Green" 71 27 0 1
"Osmanthus lanceolatus Hayata" 31 0 0 0
"Osmanthus marginatus (Champ. ex Benth.) Hemsl." 1 12 51 21
"Osmanthus matsumuranus Hayata" 6 219 18 179
"Pachycentria formosana Hayata" 4 10 0 0
"Pasania cornea (Lour.) Liao" 2 155 27 0
"Pasania glabra (Thunb. ex Murray) Oerst." 0 0 0 123
"Pasania hancei (Benth.) Schottky var. ternaticupula (Hayata) Liao" 223 159 62 135
"Pasania hancei (Benth.) Schottky var. ternaticupula (Hayata) Liao f. subreticulata (Hayata) Liao" 177 82 62 187
"Pasania harlandii (Hance) Oerst." 18 157 54 312
"Pasania kawakamii (Hayata) Schottky" 53 962 69 69
"Pasania konishii (Hayata) Schottky" 24 141 55 112
"Pasania synbalanos (Hance) Schottky" 10 27 0 47
"Pasania taitoensis (Hayata) Liao" 0 0 0 5
"Perrottetia arisanensis Hayata" 3 48 21 8
"Phellodendron amurense Rupr. var. wilsonii (Hayata & Kanehira) Chang" 1 0 0 0
"Phoebe formosana (Hayata) Hayata" 0 118 242 1
"Photinia niitakayamensis Hayata" 269 0 0 0
"Photinia serratifolia (Desf.) Kalkman" 3 2 1 0
"Phyllanthus oligospermus Hayata" 8 0 0 0
"Picea morrisonicola Hayata" 5 23 0 0
"Pieris taiwanensis Hayata" 28 0 6 27
"Pilea aquarum Dunn subsp. brevicornuta (Hayata) C. J. Chen" 0 0 0 1
"Pileostegia viburnoides Hook. f. & Thoms." 0 0 6 0
"Pinus armandii Franchet var. masteriana Hayata" 41 3 0 0
"Pinus morrisonicola Hayata" 1 0 0 0
"Pinus taiwanensis Hayata" 65 7 0 1
"Piper sintenense Hatusima" 0 0 0 1
"Pistacia chinensis Bunge" 0 2 0 0
"Pittosporum daphniphylloides Hayata" 4 6 0 1
"Pittosporum illicioides Makino" 41 217 0 0
